set name,inst name,mask,exec_w,lsu_w,branch_w,mul_w,div_w,csr_w,rs1_valid_w,rs2_valid_w,rd_valid_w,wfi_w,fpu_w,rs1_float_w,rs2_float_w,rs3_float_w,rd_float_w
rv64_m,divw,0000001----------100-----0111011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
rv64_m,divuw,0000001----------101-----0111011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
rv64_m,remw,0000001----------110-----0111011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
rv64_m,remuw,0000001----------111-----0111011,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
rv_a,lr.w,00010--00000-----010-----0101111,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv_a,sc.w,00011------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amoswap.w,00001------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amoadd.w,00000------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amoxor.w,00100------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amoand.w,01100------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amoor.w,01000------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amomin.w,10000------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amomax.w,10100------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amominu.w,11000------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_a,amomaxu.w,11100------------010-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,lr.d,00010--00000-----011-----0101111,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
rv64_a,sc.d,00011------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amoswap.d,00001------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amoadd.d,00000------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amoxor.d,00100------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amoand.d,01100------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amoor.d,01000------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amomin.d,10000------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amomax.d,10100------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amominu.d,11000------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv64_a,amomaxu.d,11100------------011-----0101111,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
rv_zicsr,csrrw,-----------------001-----1110011,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
rv_zicsr,csrrs,-----------------010-----1110011,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
rv_zicsr,csrrc,-----------------011-----1110011,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
rv_zicsr,csrrwi,-----------------101-----1110011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rv_zicsr,csrrsi,-----------------110-----1110011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rv_zicsr,csrrci,-----------------111-----1110011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rv_sys,sfence.vma,0001001----------000000001110011,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
rv_sys,sret,00010000001000000000000001110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv_sys,mret,00110000001000000000000001110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rv_sys,wfi,00010000010100000000000001110011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rv_f,flw,-----------------010-----0000111,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
rv_f,fmadd.s,-----00------------------1000011,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_f,fsw,-----------------010-----0100111,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
rv_f,fmsub.s,-----00------------------1000111,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_f,fnmsub.s,-----00------------------1001011,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_f,fnmadd.s,-----00------------------1001111,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rv_f,fadd.s,0000000------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fsub.s,0000100------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fmul.s,0001000------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fdiv.s,0001100------------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fsqrt.s,010110000000-------------1010011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
rv_f,fsgnj.s,0010000----------000-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fsgnjn.s,0010000----------001-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fsgnjx.s,0010000----------010-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fmin.s,0010100----------000-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fmax.s,0010100----------001-----1010011,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
rv_f,fcvt.w.s,110000000000-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_f,fcvt.wu.s,110000000001-------------1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_f,fmv.x.w,111000000000-----000-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_f,feq.s,1010000----------010-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_f,flt.s,1010000----------001-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_f,fle.s,1010000----------000-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
rv_f,fclass.s,111000000000-----001-----1010011,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
rv_f,fcvt.s.w,110100000000-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv_f,fcvt.s.wu,110100000001-------------1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
rv_f,fmv.w.x,111100000000-----000-----1010011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
