inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
csrrw,-----------------001-----1110011,1,0,1
csrrs,-----------------010-----1110011,1,0,1
csrrc,-----------------011-----1110011,1,0,1
csrrwi,-----------------101-----1110011,0,0,1
csrrsi,-----------------110-----1110011,0,0,1
csrrci,-----------------111-----1110011,0,0,1
